cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
23,NARIÑO,23096,NARIÑO,100%,1242,2644,40,40,4
15,CUNDINAMARCA,15172,NARIÑO,100%,988,894,17,5,4
19,HUILA,19050,NATAGA,100%,1988,1272,51,36,10
01,ANTIOQUIA,01191,NECHI,100%,5096,3641,102,44,32
29,TOLIMA,29082,NATAGAIMA,100%,3805,4839,62,62,18
09,CALDAS,09076,NEIRA,100%,7790,3516,224,253,51
01,ANTIOQUIA,01192,NECOCLI,100%,11647,8144,300,111,71
19,HUILA,19001,NEIVA,100%,103554,91103,3025,1788,155
15,CUNDINAMARCA,15175,NEMOCON,100%,4547,4184,135,157,6
88,CONSULADOS,88620,NICARAGUA,100%,90,27,1,0,0
15,CUNDINAMARCA,15178,NILO,100%,2515,1270,51,28,3
07,BOYACA,07166,NOBSA,100%,3984,6641,125,69,3
15,CUNDINAMARCA,15184,NOCAIMA,100%,2492,1306,45,24,3
15,CUNDINAMARCA,15181,NIMAIMA,100%,1973,459,26,9,5
88,CONSULADOS,88635,NORUEGA,100%,199,340,18,2,0
09,CALDAS,09078,NORCASIA,100%,2112,1222,81,67,5
05,BOLIVAR,05050,NOROSI,100%,901,1788,32,12,3
21,MAGDALENA,21042,NUEVA GRANADA,100%,5671,3834,104,42,20
17,CHOCO,17028,NOVITA,100%,583,2509,36,58,16
88,CONSULADOS,88625,NUEVA ZELANDIA,100%,597,676,51,3,0
07,BOYACA,07169,NUEVO COLON,100%,2423,1083,42,21,7
17,CHOCO,17082,NUEVO BELEN DE BAJIRA,100%,2012,4584,61,79,8
46,CASANARE,46560,NUNCHIA,100%,3934,692,37,20,6
17,CHOCO,17031,NUQUI,100%,363,3250,14,29,2
31,VALLE,31076,OBANDO,100%,2440,3410,79,99,11
27,SANTANDER,27142,OCAMONTE,100%,2540,338,27,5,4
27,SANTANDER,27145,OIBA,100%,5563,1295,90,42,8
25,NORTE DE SAN,25061,OCAÑA,100%,42350,17477,845,462,60
07,BOYACA,07173,OICATA,100%,1196,901,36,26,2
23,NARIÑO,23095,OLAYA HERRERA,100%,502,8401,42,52,12
27,SANTANDER,27148,ONZAGA,100%,1997,279,18,12,10
01,ANTIOQUIA,01193,OLAYA,100%,1438,374,15,11,5
19,HUILA,19051,OPORAPA,100%,5101,1073,98,33,9
64,PUTUMAYO,64023,ORITO,100%,2688,18378,187,160,26
46,CASANARE,46640,OROCUE,100%,4062,1535,55,39,17
29,TOLIMA,29085,ORTEGA,100%,7896,5443,121,124,39
23,NARIÑO,23097,OSPINA,100%,1482,2557,64,36,9
07,BOYACA,07176,OTANCHE,100%,3850,919,37,23,3
28,SUCRE,28100,OVEJAS,100%,5320,9372,72,60,17
07,BOYACA,07178,PACHAVITA,100%,1099,285,9,19,2
15,CUNDINAMARCA,15190,PACHO,100%,11686,3939,250,124,16
09,CALDAS,09079,PACORA,100%,5766,1344,151,115,37
11,CAUCA,11053,PADILLA,100%,871,3659,47,91,6
07,BOYACA,07179,PAEZ,100%,1457,305,29,9,4
12,CESAR,12650,PAILITAS,100%,5494,4232,94,79,11
11,CAUCA,11055,PAEZ (BELALCAZAR),100%,2240,13475,139,136,40
19,HUILA,19052,PAICOL,100%,3109,692,44,18,3
07,BOYACA,07181,PAIPA,100%,12342,10275,424,245,5
15,CUNDINAMARCA,15193,PAIME,100%,2414,608,27,8,5
88,CONSULADOS,88435,PAISES BAJOS,100%,1457,1608,86,2,0
07,BOYACA,07184,PAJARITO,100%,864,344,14,3,1
19,HUILA,19055,PALERMO,100%,8950,5053,178,135,15
27,SANTANDER,27151,PALMAR,100%,935,201,4,8,2
09,CALDAS,09082,PALESTINA,100%,4846,3337,126,160,19
19,HUILA,19056,PALESTINA,100%,4770,1940,134,95,14
03,ATLANTICO,03028,PALMAR DE VARELA,100%,4711,10125,128,41,14
27,SANTANDER,27154,PALMAS DEL SOCORRO,100%,1725,243,32,8,3
31,VALLE,31079,PALMIRA,100%,62677,111031,2859,1276,156
28,SUCRE,28120,PALMITO,100%,3169,5847,67,32,16
25,NORTE DE SAN,25064,PAMPLONA,100%,19734,10074,692,335,37
29,TOLIMA,29087,PALOCABILDO,100%,3302,1611,58,33,6
25,NORTE DE SAN,25067,PAMPLONITA,100%,3010,396,60,29,6
88,CONSULADOS,88655,PANAMA,100%,8718,2603,147,8,3
50,GUAINIA,50087,PANA PANA (CAMPO ALEGRE),100%,108,164,4,1,1
15,CUNDINAMARCA,15196,PANDI,100%,1733,1104,22,15,8
88,CONSULADOS,88665,PARAGUAY,100%,290,74,0,0,0
07,BOYACA,07187,PANQUEBA,100%,770,179,14,4,4
27,SANTANDER,27157,PARAMO,100%,2682,465,31,14,2
15,CUNDINAMARCA,15198,PARATEBUENO (LA NAGUAYA),100%,3783,1291,38,49,9
15,CUNDINAMARCA,15199,PASCA,100%,2784,3131,64,50,7
23,NARIÑO,23001,PASTO,100%,59547,175744,2678,1633,161
07,BOYACA,07190,PAUNA,100%,3324,1045,28,29,15
11,CAUCA,11058,PATIA (EL BORDO),100%,4244,15757,354,484,75
07,BOYACA,07193,PAYA,100%,1007,174,12,6,3
46,CASANARE,46680,PAZ DE ARIPORO (MORENO),100%,15175,4039,241,144,30
07,BOYACA,07199,PAZ DE RIO,100%,1134,1433,52,32,3
21,MAGDALENA,21046,PEDRAZA,100%,3198,1792,10,15,9
12,CESAR,12700,PELAYA,100%,6225,3795,111,94,17
09,CALDAS,09085,PENSILVANIA,100%,6903,2237,199,129,29
24,RISARALDA,24001,PEREIRA,100%,155042,124754,5904,3250,366
01,ANTIOQUIA,01199,PEQUE,100%,2264,1169,57,24,10
88,CONSULADOS,88670,PERU,100%,2566,851,54,7,0
07,BOYACA,07202,PESCA,100%,3215,952,46,21,10
11,CAUCA,11060,PIAMONTE,100%,1112,2472,82,44,12
01,ANTIOQUIA,01196,PEÑOL,100%,10194,2168,166,72,20
27,SANTANDER,27160,PIEDECUESTA,100%,63191,32641,1590,875,65
11,CAUCA,11061,PIENDAMO,100%,8004,13317,340,333,42
29,TOLIMA,29088,PIEDRAS,100%,1768,1757,47,29,7
26,QUINDIO,26070,PIJAO,100%,2168,1046,48,40,11
21,MAGDALENA,21048,PIJIÑO DEL CARMEN,100%,3522,2191,36,22,13
27,SANTANDER,27163,PINCHOTE,100%,2356,703,36,14,3
05,BOLIVAR,05059,PINILLOS,100%,6479,2796,44,26,16
03,ATLANTICO,03031,PIOJO,100%,1709,1883,22,6,4
07,BOYACA,07205,PISBA,100%,667,159,11,2,4
19,HUILA,19061,PITALITO,100%,42899,28484,1069,596,93
19,HUILA,19058,PITAL,100%,5037,1829,101,50,9
21,MAGDALENA,21049,PIVIJAY,100%,6617,10012,141,91,30
